index,Data,Bloomberg ID,Fundo,Quantidade de cotas,Tipo,Valor de compra
0,2024-07-05,HASH11 BZ EQUITY,HASH11,-600.0,Cripto,
1,2024-06-07,HASH11 BZ EQUITY,HASH11,-55.0,Cripto,
2,2024-06-07,HASH11 BZ EQUITY,HASH11,-212.0,Cripto,
3,2024-11-26,HASH11 BZ EQUITY,HASH11,-32.0,Cripto,
4,2024-11-26,HASH11 BZ EQUITY,HASH11,-13.0,Cripto,
5,2024-11-26,HASH11 BZ EQUITY,HASH11,-42.0,Cripto,
6,2024-11-26,HASH11 BZ EQUITY,HASH11,-1.0,Cripto,
7,2024-11-26,HASH11 BZ EQUITY,HASH11,-100.0,Cripto,
8,2024-12-09,HASH11 BZ EQUITY,HASH11,-71.0,Cripto,
9,2024-12-09,HASH11 BZ EQUITY,HASH11,-5.0,Cripto,
10,2024-12-09,HASH11 BZ EQUITY,HASH11,-44.0,Cripto,
11,2024-12-09,HASH11 BZ EQUITY,HASH11,-32.0,Cripto,
12,2024-12-16,HASH11 BZ EQUITY,HASH11,-23.0,Cripto,
13,2024-12-16,HASH11 BZ EQUITY,HASH11,-19.0,Cripto,
14,2024-12-16,HASH11 BZ EQUITY,HASH11,-66.0,Cripto,
15,2024-12-16,HASH11 BZ EQUITY,HASH11,-100.0,Cripto,
16,2024-12-16,HASH11 BZ EQUITY,HASH11,-300.0,Cripto,
17,2024-12-18,HASH11 BZ EQUITY,HASH11,-400.0,Cripto,
18,2024-12-18,HASH11 BZ EQUITY,HASH11,-91.0,Cripto,
19,2024-12-18,HASH11 BZ EQUITY,HASH11,-54.0,Cripto,
20,2024-05-07,HASH11 BZ EQUITY,HASH11,-453.0,Cripto,
21,2022-01-21,HASH11 BZ EQUITY,HASH11,7800.0,Cripto,
22,2018-02-01,KADLOFF BZ INDEX,Kadima Equities,25616.34143415,Ações,
23,2020-03-09,KADLOFF BZ INDEX,Kadima Equities,17972.928205,Ações,
24,2020-08-04,KADLOFF BZ INDEX,Kadima Equities,56115.84892547,Ações,
25,2020-08-04,KADIMLB BZ INDEX,Kadima Long Bias,44226.68052519,Long Bias,
26,2021-01-21,HASH11 BZ EQUITY,HASH11,4587.0,Cripto,
27,2019-07-15,IVVB11 BZ EQUITY,IVVB11,90.0,Ações+Dólar,
28,2019-10-08,KADIMLB BZ INDEX,Kadima Long Bias,58556.46085687,Long Bias,
29,2021-03-01,DIDOLFI BZ INDEX,Kadima High Vol,113751.65859314,Multimercado,
30,2017-09-22,KADLOFF BZ INDEX,Kadima Equities,48193.6989582,Ações,
