DIDOLFI BZ INDEX,HASH11 BZ EQUITY,IVVB11 BZ EQUITY,KADIMLB BZ INDEX,KADLOFF BZ INDEX
,,,,1
,,,,0.993685
,,,,1.007959
,,,,1.008615
,,,,1.011313
,,,,1.011273
,,,,1.00474
,,,,1.008441
,,,,1.019894
,,,,1.026636
,,,,1.026567
,,,,1.037521
,,,,1.036875
,,,,1.045151
,,,,1.038286
,,,,1.033453
,,,,1.034433
,,,,1.035233
,,,,1.051337
,,,,1.047983
,,,,1.052405
,,,,1.046347
,,,,1.048718
,,,,1.038451
,,,,1.031869
,,,,1.02227
,,,,1.031619
,,,,1.031544
,,,,1.024519
,,,,1.017109
,,,,0.997077
,,,,0.998981
,,,,1.008165
,,,,0.996046
,,,,0.992864
,,,,0.978413
,,,,0.985664
,,,,0.989118
,,,,0.966122
,,,,0.971296
,,,,0.984871
,,,,0.99315
,,,,0.993736
,,,,1.010274
,,,,1.017992
,,,,1.027173
,,,,1.024188
,,,,1.013412
,,,,1.016218
,,,,1.01804
,,,,1.013864
,,,,1.016964
,,,,1.00192
,,,,1.013837
,,,,1.027317
,,,,1.026339
,,,,1.025628
,,,,1.017807
,,,,1.026245
,,,,1.029128
,,,,1.027182
,,,,1.016785
,,,,1.019148
,,,,1.026273
,,,,1.02752
,,,,1.040567
,,,,1.044086
,,,,1.044362
,,,,1.052805
,,,,1.042231
,,,,1.044857
,,,,1.053483
,,,,1.065867
,,,,1.08093
,,,,1.087347
,,,,1.090788
,,,,1.080511
,,,,1.081041
,,,,1.073934
,,,,1.070402
,,,,1.054797
,,,,1.054506
,,,,1.05217
,,,,1.055311
,,,,1.051451
,,,,1.058364
,,,,1.067112
,,,,1.067683
,,,,1.072239
,,,,1.063327
,,,,1.057234
,,,,1.059492
,,,,1.049078
,,,,1.03592
,,,,1.028898
,,,,1.0299
,,,,1.04889
,,,,1.050796
,,,,1.054798
,,,,1.041847
,,,,1.049634
,,,,1.036122
,,,,1.033813
,,,,1.041828
,,,,1.037537
,,,,1.036732
,,,,1.042205
,,,,1.037418
,,,,1.049766
,,,,1.052778
,,,,1.061672
,,,,1.063701
,,,,1.059262
,,,,1.070093
,,,,1.051671
,,,,1.065197
,,,,1.071816
,,,,1.054628
,,,,1.057442
,,,,1.05274
,,,,1.054468
,,,,1.041988
,,,,1.032999
,,,,1.035153
,,,,1.028459
,,,,1.024402
,,,,1.024067
,,,,1.024016
,,,,1.027087
,,,,1.024226
,,,,1.024454
,,,,1.025209
,,,,1.033953
,,,,1.034804
,,,,1.032362
,,,,1.043054
,,,,1.047643
,,,,1.032934
,,,,1.02407
,,,,1.023611
,,,,1.011322
,,,,0.994816
,,,,0.991669
,,,,1.008797
,,,,0.993342
,,,,0.990741
,,,,0.979804
,,,,0.984222
,,,,0.987501
,,,,1.007481
,,,,1.013166
,,,,1.005966
,,,,0.998422
,,,,0.982424
,,,,0.983345
,,,,0.989946
,,,,0.983842
,,,,0.96433
,,,,0.940783
,,,,0.890718
,,,,0.894338
,,,,0.826387
,,,,0.865046
,,,,0.865114
,,,,0.897373
,,,,0.889019
,,,,0.916773
,,,,0.91648
,,,,0.927457
,,,,0.893569
,,,,0.880881
,,,,0.881898
,,,,0.902385
,,,,0.901254
,,,,0.892184
,,,,0.897572
,,,,0.92846
,,,,0.940479
,,,,0.964203
,,,,0.9871
,,,,0.960246
,,,,0.932441
,,,,0.962698
,,,,0.976315
,,,,0.947526
,,,,0.948983
,,,,0.941425
,,,,0.950484
,,,,0.954302
,,,,0.969008
,,,,0.971778
,,,,0.955923
,,,,0.946473
,,,,0.902107
,,,,0.897586
,,,,0.899068
,,,,0.905286
,,,,0.8934
,,,,0.898279
,,,,0.884447
,,,,0.860272
,,,,0.86589
,,,,0.868441
,,,,0.890092
,,,,0.870198
,,,,0.899854
,,,,0.904914
,,,,0.917912
,,,,0.925652
,,,,0.904784
,,,,0.922358
,,,,0.919047
,,,,0.904078
,,,,0.925835
,,,,0.947379
,,,,0.933019
,,,,0.94837
,,,,0.985079
,,,,0.989369
,,,,0.974086
,,,,0.955542
,,,,0.963701
,,,,0.971123
,,,,0.977872
,,,,0.976488
,,,,0.950208
,,,,0.951497
,,,,0.972982
,,,,0.964128
,,,,0.967768
,,,,0.942391
,,,,0.937592
,,,,0.929044
,,,,0.919692
,,,,0.909087
,,,,0.919856
,,,,0.921056
,,,,0.937938
,,,,0.930553
,,,,0.958949
,,,,0.976455
,,,,0.964236
,,,,0.980958
,,,,0.988238
,,,,0.970869
,,,,0.953432
,,,,0.963762
,,,,0.951066
,,,,0.958009
,,,,0.944099
,,,,0.938681
,,,,0.937928
,,,,0.926815
,,,,0.946632
,,,,0.944619
,,,,0.948759
,,,,0.956133
,,,,0.959302
,,,,0.962406
,,,,0.941835
,,,,0.947612
,,,,0.947519
,,,,0.958986
,,,,0.980852
,,,,0.987272
,,,,0.97544
1.150755,,,,0.973966
1.150755,,,,0.979749
1.06655,,,,0.992998
1.084207,,,,0.993137
1.084207,,,,0.992288
1.084207,,,,0.981022
1.084207,,,,0.991115
1.084207,,,,0.996926
1.084207,,,,1.006936
1.084207,,,,1.017183
1.084207,,,,1.024769
1.084207,,,,1.024553
1.084207,,,,1.025659
1.084207,,,,1.025554
1.084207,,,,1.042753
1.084207,,,,1.046931
1.084207,,,,1.044268
1.084207,,,,1.049438
1.084207,,,,1.071819
1.084207,,,,1.076612
1.084207,,,,1.086568
1.084207,,,,1.086356
1.202506,,,,1.089964
1.163322,,,,1.092429
1.163322,,,,1.081544
1.071734,,,,1.066425
1.071734,,,,1.08915
1.071734,,,,1.085794
1.071734,,,,1.096681
1.071734,,,,1.107339
1.071734,,,,1.109183
1.071734,,,,1.108779
1.071734,,,,1.102221
1.071734,,,,1.100389
1.071734,,,,1.090651
1.071734,,,,1.106875
1.071734,,,,1.104714
1.071734,,,,1.117307
1.071734,,,,1.135657
1.002451,,,,1.126649
1.002451,,,,1.099141
1.215575,,,,1.116419
1.146284,,,,1.134582
1.137754,,,,1.128991
1.135044,,,,1.123182
1.135044,,,,1.150736
1.135044,,,,1.147888
1.135044,,,,1.141144
1.135044,,,,1.13547
1.135044,,,,1.133195
1.135044,,,,1.128975
1.135044,,,,1.1198
1.135044,,,,1.10166
1,,,,1.10435
1.000003,,,,1.117697
0.982072,,,,1.106732
0.975359,,,,1.096262
0.975732,,,,1.090249
0.97304,,,,1.088241
0.972519,,,,1.093846
0.958184,,,,1.082219
0.968648,,,,1.076959
0.973407,,,,1.079585
0.992978,,,,1.062538
0.994851,,,,1.045387
0.990245,,,,1.03554
0.978113,,,,1.055056
0.971115,,,,1.03525
0.956449,,,,1.035604
0.958524,,,,1.048212
0.990967,,,,1.048924
0.985322,,,,1.047407
0.989512,,,,1.041292
0.961665,,,,1.027495
0.953109,,,,1.035469
0.960716,,,,1.032391
0.95974,,,,1.036594
0.961875,,,,1.032556
0.969906,,,,1.033517
0.99655,,,,1.039158
1.002451,,,,1.04362
1.016875,,,,1.033206
1.027811,,,,1.038616
1.020663,,,,1.032587
1.04662,,,,1.024156
1.057377,,,,1.024629
1.041286,,,,1.021312
1.050415,,,,0.984582
1.056779,,,,0.960357
1.051871,,,,0.956776
1.042731,,,,0.930763
1.066175,,,,0.934659
1.071854,,,,0.959691
1.098446,,,,0.947044
1.136829,,,,0.939232
1.134898,,,,0.935355
1.131339,,,,0.940722
1.13786,,,,0.950921
1.136393,,,,0.93632
1.151421,,,,0.924094
1.150069,,,,0.933552
1.150755,,,,0.919346
1.170341,,,,0.910699
1.13724,,,,0.895758
1.139432,,,,0.917961
1.134296,,,,0.921674
1.15029,,,,0.921801
1.152652,,,,0.936604
1.156532,,,,0.942944
1.149156,,,,0.936892
1.16506,,,,0.949792
1.142398,,,,0.953326
1.14784,,,,0.964022
1.149879,,,,0.963834
1.164505,,,,0.947674
1.16667,,,,0.941757
1.187068,,,,0.918568
1.182675,,,,0.917662
1.203881,,,,0.914752
1.199745,,,,0.917735
1.197591,,,,0.940197
1.202506,,,,0.942298
1.215575,,,,0.953659
1.221945,,,,0.957214
1.208726,,,,0.957442
1.190798,,,,0.940656
1.191103,,,,0.940554
1.197199,,,,0.911611
1.198393,,,,0.906233
1.208529,,,,0.898232
1.211218,,,,0.909786
1.212035,,,,0.894219
1.210328,,,,0.901614
1.193985,,,,0.911532
1.171975,,,,0.922706
1.161379,,,,0.908295
1.169951,,,,0.888994
1.163487,,,,0.891277
1.146296,,,,0.891696
1.144656,,,,0.913014
1.139609,,,,0.94928
1.146792,,,,0.963745
1.148977,,,,0.952755
1.154505,,,,0.961385
1.163322,,,,0.947508
1.146284,,,,0.972754
1.146883,,,,0.992884
1.13872,,,,0.98532
1.138093,,,,1.000502
1.148293,,,,0.99513
1.143495,,,,0.998831
1.126507,,,,0.993744
1.126047,,,,0.980518
1.127759,,,,0.990167
1.123697,,,,1.011917
1.127314,,,,1.011131
1.116887,,,,1.014858
1.103445,,,,1.013082
1.09175,,,,1.018367
1.092438,,,,1.00627
1.098946,,,,1.004394
1.093481,,,,1.002698
1.120541,,,,1.008725
1.129512,,,,0.999023
1.129163,,,,0.997278
1.143428,,,,0.990807
1.137754,,,,0.996331
1.138989,,,,0.984469
1.134725,,,,0.988503
1.131128,,,,1.004543
1.129147,,,,1.001632
1.093224,,,,1.002674
1.106769,,,,0.99477
1.113271,,,,1.023201
1.104008,,,,1.020892
1.078047,,,,1.017861
1.085077,,,,1.018765
1.086854,,,,1.02308
1.087329,,,,1.021523
1.08967,,,,1.022977
1.087023,,,,1.025472
1.084807,,,,1.010184
1.072326,,,,1.006171
1.068959,,,,1.004418
1.075751,,,,0.99514
1.06655,,,,1.001261
1.071734,,,,0.99778
1.077558,,,,0.989472
1.089187,,,,0.983533
1.113017,,,,0.992953
1.111324,,,,0.995991
1.119006,,,,0.987943
1.126221,,,,0.984613
1.109852,,,,0.994291
1.113465,,,,0.998204
1.122453,,,,1.001763
1.108262,,,,1.006804
1.106687,,,,0.998688
1.099762,,,,0.992687
1.10341,,,,0.986827
1.091392,,,,0.970578
1.087146,,,,0.969968
1.085369,,,,0.97514
1.086297,,,,0.968129
1.08554,,,,0.967114
1.085617,,,,0.971405
1.083663,,,,0.970503
1.084207,,,,0.993066
1.081682,,,,0.986137
1.079327,,,,0.996158
1.079171,,,,0.987151
1.086483,,,,0.970889
1.094936,,,,0.96548
1.101107,,,,0.953152
1.121231,,,,0.967754
1.115322,,,,0.954745
1.129362,,,,0.948759
1.117128,,,,0.96083
1.117358,,,,0.960733
1.123659,,,,0.956572
1.108508,,,,0.961488
1.120282,,,,0.98047
1.130477,,,,0.969665
1.13359,,,,0.963003
1.100474,,,,0.965815
1.117382,,,,0.976491
1.133442,,,,0.980758
1.135044,,,,0.986782
1.142867,,,,0.984379
1.154738,,,,0.984936
1.189456,,,,0.989124
1.181301,,,,0.996314
1.167414,,,,0.996949
1.166547,,,,1.002507
1.151216,,,,1.003362
1.157789,,,,1.000894
1.144221,,,,1.00153
1.15604,,,,1.005529
1.151852,,,,1.014475
1.165206,,,,1.02128
1.178464,,,,1.026863
1.170385,,,,1.031003
1.170619,,,,1.030911
1.17599,,,,1.029713
1.176094,,,,1.025993
1.17464,,,,1.036011
1.174875,,,,1.035934
1.175781,,,,1.050757
1.188053,,,,1.059819
1.186059,,,,1.054341
1.192485,,,,1.046674
1.203299,,,,1.037151
1.193304,,,,1.04601
1.196514,,,,1.046554
1.200537,,,,1.045803
1.197268,,,,1.050733
1.195784,,,,1.044771
1.203071,,,,1.047509
1.196056,,,,1.055891
1.196486,,,,1.053662
1.185317,,,,1.056628
1.181563,,,,1.049402
1.178013,,,,1.052801
1.175162,,,,1.046434
1.175402,,,,1.046345
1.193795,,,,1.034393
1.199996,,,,1.036428
1.195386,,,,1.028407
1.194514,,,,1.038433
1.180397,,,,1.046422
1.166092,,,,1.040306
1.162415,,,,1.043265
1.151867,,,,1.03709
1.15904,,,,1.030476
1.162389,,,,1.028801
1.162234,,,,1.029013
1.172755,,,,1.02736
1.190293,,,,1.031031
1.201242,,,,1.028533
1.207477,,,,1.027178
1.204675,,,,1.014523
1.221717,,,,1.011461
1.225243,,,,1.021304
1.22834,,,,1.024084
1.215876,,,,1.026826
1.2165,,,,1.032462
1.221251,,,,1.037739
1.232434,,,,1.033821
1.242734,,,,1.030002
1.264119,,,,1.026281
1.259717,,,,1.043619
